Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
The Westly Group,https://www.crunchbase.com/organization/the-westly-group,http://www.westlygroup.com,"San Francisco Bay Area, Silicon Valley, West Coast","The Westly Group is focused on investing in the most innovative companies in the energy, transportation and smart building sectors. We are dedicated to finding and funding the best talent in creating a sustainable future. With extensive operating experience in the private and public sectors, from Silicon Valley to Washington, D.C. and beyond, The Westly Group uses its experiences to give firms the momentum they need to achieve their potential.","Analytics, CleanTech, Venture Capital","Data and Analytics, Financial Services, Lending and Investments, Sustainability","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,83,"Menlo Park, California, United States",plans@westlygroup.com,(650) 275-7420,https://www.linkedin.com/company/the-westly-group/,,,,,,
GE Equity,https://www.crunchbase.com/organization/ge-equity,http://www.geequity.com,"East Coast, New England, Northeastern US","GE Equity maximizes the return on GE's investment capital by combining deep equity investing experience with GE's industry expertise, operating experience and global reach. They seek to take minority ownership positions in established companies with high growth potential. They focus on the following investment opportunities: growth capital, buy-out co-investments, secondary direct purchases, recapitalizations and LP investments.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Corporate Venture Capital,83,"Norwalk, Connecticut, United States",COMFINGEEquity@ge.com,877-656-8420,,,,,,,
Texas Venture Labs,https://www.crunchbase.com/organization/texas-venture-labs,https://www.mccombs.utexas.edu/Centers/Texas-Venture-Labs,Southern US,"Housed at the graduate building of the McCombs School of Business, Jon Brumley Texas Venture Labs (TVL) provides direct links to the entrepreneurial, business, technology and legal resources available on the University of Texas at Austin campus and the Texas entrepreneurial ecosystem. TVL gives students, faculty, researchers and local entrepreneurs full access to these resources. It provides the mentoring, team-building, market and business plan validation, technology commercialization and domain knowledge needed to start and grow innovative ventures. TVL's mission is to accelerate start-ups in taking their innovations to market while helping to transform grad students into entrepreneurs and business leaders.","EdTech, Education","Education, Software",Non Equity Assistance,Accelerator,83,"Austin, Texas, United States",infoTVL@mccombs.utexas.edu,(512) 232-3745,https://www.linkedin.com/school/txventurelabs,,,,,,
Wells Fargo,https://www.crunchbase.com/organization/wells-fargo-bank,http://www.wellsfargo.com,"Greater San Diego Area, West Coast, Western US","Wells Fargo & Company is a diversified financial services company with $1.3 trillion in assets, providing banking, insurance, investments, mortgage and consumer finance through more than 10,000 stores, over 12,000 ATMs and the internet across North America and internationally. Wells Fargo & Company is an American multinational banking and financial services holding company with operations around the world. Wells Fargo is the fourth largest bank in the U.S. by assets and the largest bank by market capitalization. Wells Fargo is the second largest bank in deposits, home mortgage servicing, and debit cards. In 2011, Wells Fargo was the 23rd largest company in the United States. Wells Fargo is headquartered in San Francisco, California, with ""hubquarters"" throughout the country. In 2007 it was the only bank in the United States to be rated AAA by S&P, though its rating has since been lowered to AA− in light of the financial crisis of 2007–2012. The firm's primary U.S. operating subsidiary is national bank Wells Fargo Bank, N.A., which designates its main office as Sioux Falls, South Dakota. Wells Fargo in its present form is a result of a merger between San Francisco-based Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998 and the subsequent 2008 acquisition of Charlotte-based Wachovia. Following the mergers, the company transferred its headquarters to Wells Fargo's headquarters in San Francisco and merged its operating subsidiary with Wells Fargo's operating subsidiary in Sioux Falls. In 2012, Wells Fargo had more than 9,000 retail branches and over 12,000 automated teller machines in 39 states and the District of Columbia. A ""Big Four bank"", it has over 270,000 employees and over 70 million customers. As of July 12, 2013, Wells Fargo became the world's biggest bank by market capitalization, worth $236 billion.","Banking, Financial Services, FinTech, Insurance, Payments","Financial Services, Lending and Investments, Payments","Debt, Early Stage Venture",Investment Bank,82,"San Diego, California, United States",,+7278583371,https://www.linkedin.com/company/1235,,,,,,
Eclipse Ventures,https://www.crunchbase.com/organization/eclipse-ventures,https://eclipse.vc/,"San Francisco Bay Area, Silicon Valley, West Coast","Eclipse Ventures is an early-stage venture firm managed by a team of former operators who are passionate about modernizing massive, physical industries like manufacturing, logistics, transportation and healthcare. We work side by side with experienced founders who understand the need to transform these industries, and we provide guidance on everything from operating best practices to fundraising strategies. Partnering with us means deep engagement as we build generational companies in sectors that define and propel economies.","Logistics, Manufacturing, Transportation, Venture Capital","Financial Services, Lending and Investments, Manufacturing, Transportation","Early Stage Venture, Late Stage Venture, Seed","Private Equity Firm, Venture Capital",82,"Palo Alto, California, United States",admin@eclipse.vc,650-720-4667,https://www.linkedin.com/company/eclipse-ventures-llc,,,,,,
TheVentureCity Product-Led Growth Program,https://www.crunchbase.com/organization/theventurecity-growth-accelerator,https://theventure.city/en/our-city/theventurecity-boutique-growth-accelerator/,"Greater Miami Area, East Coast, Southern US","A boutique growth accelerator that prepares founders to achieve global success. We don't believe in batches; we build tailor-made programs adapted to the unique challenges selected startups face, working one-on-one to achieve optimal results.",Venture Capital,"Financial Services, Lending and Investments","Convertible Note, Seed","Accelerator, Venture Capital",82,"Miami, Florida, United States",hello@theventure.city,,https://www.linkedin.com/company/theventurecity/,,,,,,
EXPERT DOJO,https://www.crunchbase.com/organization/expert-dojo,http://www.expertdojo.com,"Greater Los Angeles Area, West Coast, Western US","Expert DOJO is the most active international early-stage startup accelerator in Southern California. We invest $100,000 in each of our startups and help them get traction and scale faster than they could ever do by themselves. Since 2018, we have invested in over 80 startups to accelerate their growth. What makes us special is our focus on building visionary companies. If you can visualize your unicorn, you have a higher probability of achieving its full potential. That’s where Expert DOJO comes in. We invest in pre-seed and seed companies ready to scale quickly. Most of our startups are minority and female founded technology companies. However, we remain industry agnostic and invest in founders from all over the world and from diverse backgrounds.","Enterprise, Financial Services, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments, Other","Early Stage Venture, Seed",Accelerator,82,"Santa Monica, California, United States",info@expertdojo.com,+1 800 600 0881,https://www.linkedin.com/company/6636388/admin/,,,,,,
The Column Group,https://www.crunchbase.com/organization/the-column-group,http://www.thecolumngroup.net,"San Francisco Bay Area, West Coast, Western US",The Column Group is a leading venture capital firm dedicated to creating the next generation of biotechnology companies,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,82,"San Francisco, California, United States",info@thecolumngroup.com,(415) 255-2048,http://www.linkedin.com/company/the-column-group,,,,,,
Pathfinder,https://www.crunchbase.com/organization/ff-angel-llc,,"San Francisco Bay Area, West Coast, Western US","Pathfinder is the early stage investment vehicle of Founders Fund, a venture capital firm investing in science and technology companies solving difficult problems. The firm and its partners have been early backers of some of the most impactful companies of the past decade, including SpaceX, Palantir, Facebook and Airbnb. Founders Fund pursues a founder-friendly investment strategy, providing maximum support with minimum interference.  ","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Angel Group,82,"San Francisco, California, United States",,,,,,,,,
Prospect Venture Partners,https://www.crunchbase.com/organization/prospect-venture-partners,http://www.prospectventurepartners.com,"San Francisco Bay Area, Silicon Valley, West Coast","Prospect Venture Partners is a Palo Alto, California based venture capital firm with over $1B of capital under management. The firm is dedicated to investing in outstanding biopharmaceutical and medical device companies. Prospect targets commercially attractive biomedical enterprises with outstanding entrepreneurial management teams, proprietary products, and innovative technologies with the potential for significant investment returns. The firm invests in companies with a wide variety of development and financing requirements including new company incubations, first and second venture financing rounds, and later stage private and public companies with proven business models requiring expansion capital. Prospect Venture Partners seeks to ultimately invest $10-$20 million in each company as a lead investor or as a co-lead in an investor syndicate. First round investments generally range from $500,000 to $10 million. Prospect Venture Partners typically has representation on the board of each of its portfolio companies, and serves as an active partner.","Biotechnology, Health Care, Venture Capital","Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering","Early Stage Venture, Late Stage Venture",Venture Capital,82,"Palo Alto, California, United States",admin@prospectventures.com,650 327 8800,https://www.linkedin.com/company/prospect-venture-partners-lp/about/,,,,,,
Tekton Ventures,https://www.crunchbase.com/organization/tekton-ventures,http://www.tektonventures.com,"San Francisco Bay Area, West Coast, Western US","TEKTON VENTURES is an international seed investment firm that partners at inception with forward looking company builders in leading technology hubs worldwide. The firm’s principals have over three decades of experience as early stage investors. Leveraging an extensive global network of entrepreneurs and investors, Tekton makes early stage investments in category defining companies in several strategic geographies around the world. Passionate entrepreneurs exist in many parts of the world. Tekton Ventures focuses its investments in two different places: Silicon Valley and selected technology centers ( London and Israel); and the fast growing mobile/digitally connected markets in Asia (China, Korea and India). Our approach to global investing rests on partnerships with local venture ecosystems: we have built long standing relationships with some of the best local seed and venture investors in our geographies of focus. We see our unique global perspective as important to build transformational companies and make that knowledge available across our entire community of entrepreneurs.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,Micro VC,81,"San Francisco, California, United States",info@tektonventures.com,(415) 788 2929,https://www.linkedin.com/company/tekton-ventures,,,,,,
BBG Ventures,https://www.crunchbase.com/organization/bbg-ventures,http://www.bbgventures.com/,"Greater New York Area, East Coast, Northeastern US","BBG Ventures is an early-stage fund backing big ideas that will reshape the way we live. We focus on female founders who intuitively understand the dominant consumer, enabling them to transform the collective or individual lived experience of the 99%. Female founders are poised to do giant things. We’re here to give them that first, crucial investment.  We look for companies that drive systems change, create 10x better consumer solutions, or address new buying behaviors across some of the biggest categories of consumer spending that are ripe for reinvention: Health and Wellbeing, Future of Education and Work, Climate Friendly Products and Platforms, Overlooked and Emerging Consumers.","Education, Emerging Markets, Health Care, Sustainability, Venture Capital, Wellness, Women's","Community and Lifestyle, Education, Financial Services, Health Care, Lending and Investments, Other, Sustainability","Early Stage Venture, Seed",Venture Capital,81,"New York, New York, United States",hello@bbgventures.com,,https://www.linkedin.com/company/bbg-ventures/,,,,,,
Fresco Capital,https://www.crunchbase.com/organization/fresco-capital-advisors,http://fresco.vc/,"San Francisco Bay Area, West Coast, Western US",Investing at the intersection of people and technology.,"Education, Financial Services, Health Care, Information Technology, Internet, Software, Venture Capital","Education, Financial Services, Health Care, Information Technology, Internet Services, Lending and Investments, Software","Early Stage Venture, Seed, Venture","Micro VC, Venture Capital",81,"San Francisco, California, United States",info@fresco.vc,,https://www.linkedin.com/company/fresco-capital,,,,,,
Halogen Ventures,https://www.crunchbase.com/organization/halogen-ventures,http://halogenvc.com/,"Greater Los Angeles Area, West Coast, Western US","Halogen Ventures is a Los Angeles, California based Venture Capital fund focused on investing in early stage consumer technology startups with a female in the founding team. Halogen Ventures invests in pre-seed, seed and series A companies creating groundbreaking technologies and products in the consumer space. We are hands on and support our founders through their full lifecycle. We help them build their networks, get brand exposure, hire great talent, raise follow-on rounds and find their path to acquisition or IPO.","Consumer, Venture Capital, Women's","Community and Lifestyle, Financial Services, Lending and Investments, Other","Early Stage Venture, Seed",Venture Capital,81,"Los Angeles, California, United States",hello@halogenvc.com,,https://www.linkedin.com/company/halogen-ventures/,,,,,,
Hatteras Venture Partners,https://www.crunchbase.com/organization/hatteras-venture-partners,http://www.hatterasvp.com,"Research Triangle, East Coast, Southern US","Hatteras Venture Partners is a venture capital firm based in Research Triangle Park, NC, with a focus on biopharmaceuticals, medical devices, diagnostics, and related opportunities in human medicine.  Founded in 2000, the firm consists of an experienced team with a broad and complementary skill set that is particularly relevant to building successful new biomedical companies. The Hatteras Venture Partners team brings operational experience, a successful track record, and a proven ability to enhance the value of the companies in which it invests. With three funds, the firm has more than $120 million under management.","Financial Services, Medical, Venture Capital","Financial Services, Health Care, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,81,"Durham, North Carolina, United States",,,http://www.linkedin.com/company/hatteras-venture-partners,,,,,,
Red Swan Ventures,https://www.crunchbase.com/organization/red-swan,http://redswan.vc,"Greater New York Area, East Coast, Northeastern US","Red Swan is a seed stage venture capital firm investing in entrepreneurs who delight customers, create culture, and disrupt industries. If Black Swans are unforeseen calamitous events, Red Swans are great companies most of us never saw coming. They are built by entrepreneurs who create joy for their customers, provide meaning to their employees, and who scare their shareholders by passing on acquisition offers. They tend to be movements as much as businesses.",Venture Capital,"Financial Services, Lending and Investments","Debt, Early Stage Venture, Seed",Venture Capital,81,"New York, New York, United States",,1(917)922-8271,https://www.linkedin.com/company-beta/6655789/,,,,,,
Walden Venture Capital,https://www.crunchbase.com/organization/waldenvc,http://www.waldenvc.com,"San Francisco Bay Area, West Coast, Western US","Based in San Francisco, Walden Venture Capital targets Sprout Stage:tm: investments. We seek products or services with mass-market potential and powerful underlying technologies taking active supporting roles typically as first institutional investors. Our target sectors are digital media and cloud services for consumers and enterprise. We care deeply about Founders and Management and work diligently to help manifest their vision. Our portfolio includes leaders in music, mobile, internet media and breakthrough cloud services.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Private Equity, Seed",Venture Capital,81,"San Francisco, California, United States",info@waldenvc.com,(415) 391-7225,https://www.linkedin.com/company/walden-venture-capital,,,,,,
XSeed Capital,https://www.crunchbase.com/organization/xseed-capital,http://www.xseedcap.com,"San Francisco Bay Area, West Coast, Western US","XSeed believes in the creative destruction unleashed by technological innovators. Its portfolio companies boast significant differentiation that creates unique customer value.  With $110 million under management, they make their initial investment commitments at the seed stage and then continue to support their portfolio companies with time, effort and follow-on capital through multiple investment rounds. The company works hard from the get-go to help entrepreneurs build value, define, and reach risk-reduction milestones, and get to their next value inflection point quickly.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Micro VC,81,"Portola Valley, California, United States",info@xseedcap.com,,https://www.linkedin.com/company/xseed-capital,,,,,,
Essex Woodlands Healthcare Partners,https://www.crunchbase.com/organization/essex-woodlands-health-ventures,http://www.ewhv.com,"San Francisco Bay Area, Silicon Valley, West Coast","Essex Woodlands was founded in 1985 with the establishment of Essex Venture Fund I, LP. Since 1985, the Partnership has raised seven additional funds with nearly $2.5 billion under management, making Essex Woodlands one of the world's largest and most established healthcare venture capital firms. The team is comprised of 23 professionals with principal offices in Palo Alto, Houston, New York and London. This team brings over 300 years of collective healthcare experience. For over 20 years, the firm has maintained its dedicated focus to diversified healthcare investing—primarily serving as lead investor in the founding or the critical financings of over 100 healthcare companies in pharmaceutical, biotechnology, medical device, services and information technology sectors. In addition to its long-standing commitment to early stage companies, the firm has over a decade of experience as a leading late-stage healthcare investor, which includes mature venture, growth equity and PIPE investment opportunities.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity",Venture Capital,81,"Palo Alto, California, United States",newyork@ewhealthcare.com,212 922 0551,https://www.linkedin.com/company/73860?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A73860%2Cidx%3A1-1-1%2CtarId%3A1440800233382%2Ctas%3AEssex%20Woodlands%20,,,,,,
Blue Startups,https://www.crunchbase.com/organization/blue-startups,http://www.bluestartups.com,"Asia-Pacific (APAC), Western US","Blue Startups is a Top 20 Accelerator in the US (Techcrunch) focused on helping scalable-technology companies compete on a global scale. With an extensive global mentor network, Blue Startups is a nexus of entrepreneurial activity in Hawai‘i, and between Asia and North America  Blue Startups was founded by Maya and Henk Rogers of the Tetris Company and Chenoa Farnsworth of Hawaii Angels in 2012 and has been a member of the Global Accelerator Network since 2013. www.bluestartups.com We are focused on recruiting capital efficient and scalable technology companies, including web, software, and mobile. In addition, the program is targets companies in the travel, gaming and impact sectors.  We focus recruitment on Asia and the U.S. and are particularly interested in companies addressing both markets. Blue Startups is a member of the Global Accelerator Network, an invite-only community of the world’s most respected organizations that provide startups with the best resources to create and grow their businesses, wherever they are. Startups accepted into a GAN accelerator have access to a variety of exclusive perks including over $1M worth of free services, introductions to a network of investors and access to soft landing spaces worldwide.","Financial Services, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments",Seed,Accelerator,81,"Honolulu, Hawaii, United States",aloha@bluestartups.com,+1 808-954-6180,http://www.linkedin.com/company/blue-startups-llc,,,,,,
CircleUp,https://www.crunchbase.com/organization/circleup-growth-partners,https://circleup.com/equity/,"San Francisco Bay Area, West Coast, Western US","CircleUp is the investment platform providing capital and resources to innovative, early-stage consumer brands with a modern, scalable approach to private markets. CircleUp is comprised of internally-managed equity funds, a credit program, and an Insights & Connections team - all powered by Helio, CircleUp's proprietary machine learning platform. Helio collects and analyzes billions of data points to evaluates 1.3 million consumer businesses and predict future business success.","Finance, Financial Services, FinTech, Lending, Venture Capital","Financial Services, Lending and Investments",Early Stage Venture,"Private Equity Firm, Venture Capital",80,"San Francisco, California, United States",info@circleup.com,877-342-7222,https://www.linkedin.com/company/circleup,53000000,USD,53000000,253000000,USD,253000000
Ampersand Capital Partners,https://www.crunchbase.com/organization/ampersand-ventures,http://www.ampersandcapital.com,"Greater Boston Area, East Coast, New England",[Ampersand](http://www.ampersandventures.com/) is a middle market private equity firm focused on investments in two core sectors: Healthcare and Industrial.,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture",Private Equity Firm,80,"Wellesley, Massachusetts, United States",info@ampersandcapital.com,,https://www.linkedin.com/company/ampersand-capital-partners,,,,,,
GS Growth,https://www.crunchbase.com/organization/gs-growth,https://www.goldmansachs.com/gsgrowth,"Greater New York Area, East Coast, Northeastern US","As part of the Merchant Banking Division of Goldman Sachs, GS Growth is the firm’s investment platform dedicated to providing preferred equity and mezzanine capital to high-growth companies. As of June 2019, Goldman Sachs' investing groups (Goldman Sachs Growth Equity, Principal Strategic Investments, and Private Capital Investing) have combined to form the GS Growth team. The team targets investments of $20-250 million.","Finance, Financial Services, FinTech",Financial Services,,Investment Bank,80,"New York, New York, United States",,,,,,,,,
CanopyBoulder,https://www.crunchbase.com/organization/canopyboulder,http://www.canopyboulder.com,"Greater Denver Area, Western US","CanopyBoulder is a mentorship-driven seed-stage investment program for startups in the cannabis industry, with a focus on ancillary products and services.","Finance, Financial Services, Incubators","Financial Services, Lending and Investments","Early Stage Venture, Seed",Accelerator,80,"Boulder, Colorado, United States",info@canopyboulder.com,(303) 586-4745,https://www.linkedin.com/company/canopy-boulder,8200000,USD,8200000,8200000,USD,8200000
Acumen,https://www.crunchbase.com/organization/acumen-fund,http://acumen.org,"Greater New York Area, East Coast, Northeastern US","Acumen is a nonprofit venture fund that invests in early-stage companies bringing critical services like agriculture, clean energy, education, financial inclusion, healthcare and workforce development to low-income communities in 14 countries across East and West Africa, South Asia, Latin America, and the United States.  Since 2001, Acumen invested $128 million in 128 companies that have transformed the lives of over 308 million low-income people.","Agriculture, Clean Energy, Communities, Education, Financial Services, Health Care, Solar, Training, Venture Capital","Agriculture and Farming, Community and Lifestyle, Education, Energy, Financial Services, Health Care, Lending and Investments, Natural Resources, Sustainability","Early Stage Venture, Late Stage Venture","Entrepreneurship Program, Venture Capital",80,"New York, New York, United States",media@acumen.org,646-747-3974,http://www.linkedin.com/company/21284,,,,,,
Goodwater Capital,https://www.crunchbase.com/organization/goodwater-capital,http://www.goodwatercap.com,"San Francisco Bay Area, West Coast, Western US",Goodwater Capital is a VC firm that focuses on consumer technology startups.,"Angel Investment, Finance, Venture Capital","Financial Services, Lending and Investments",Early Stage Venture,Micro VC,80,"Burlingame, California, United States",info@goodwatercap.com,,https://www.linkedin.com/company/3789195?,,,,,,
Glynn Capital Management,https://www.crunchbase.com/organization/glynn-capital-management,http://www.glynncapital.com,"San Francisco Bay Area, Silicon Valley, West Coast","Glynn Capital Management is focused on investments in leading private and public technology growth companies. We seek to be long-term investors in a limited number of excellent companies with world-class management teams, sustainable business models, and long-term growth potential.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Post-Ipo",Venture Capital,80,"Menlo Park, California, United States",venture@glynncapital.com,(650) 854 2215,https://www.linkedin.com/company/glynn-capital-management,,,,,,
Trilogy Equity Partners,https://www.crunchbase.com/organization/trilogy-equity-partnership,http://www.trilogyequity.com,"Greater Seattle Area, West Coast, Western US","Formed in 2006, Trilogy Equity Partners (http://www.trilogyequity.com) is an early stage venture firm based in Bellevue, Washington that is led by former entrepreneurs and operators. The firm’s roots include the formation and leadership of some of the largest mobile operators in the United States as well as other global technology and wireless companies.  Trilogy takes a hands-on approach to investing, with a closely held evergreen fund that aligns investments with the objective of building great companies over time. ","Enterprise Software, Finance, Financial Services","Financial Services, Software","Early Stage Venture, Private Equity, Seed",Venture Capital,80,"Bellevue, Washington, United States",,425 458 5900,https://www.linkedin.com/company/3799846?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3799846%2Cidx%3A1-1-1%2CtarId%3A1442933443561%2Ctas%3ATrilogy%20Equity%20Partners,,,,,,
Alsop Louie Partners,https://www.crunchbase.com/organization/alsop-louie-partners,http://www.alsop-louie.com,"San Francisco Bay Area, West Coast, Western US","""Above all else, we are focused on identifying the most promising entrepreneurs. We are focused on working with entrepreneurs starting information technology companies: in traditional VC parlance, early stage technology investments. Within that sector, we would prefer to follow the instincts and experience of the entrepreneurs and invest in all kinds of technology-based ventures. We believe, however, that it is not the job of venture investors to fund companies that require large amounts of capital, more than $20M, to create a stable, validated business operation. So we're much more interested in enterprises that don't require much capital to prove their point and entrepreneurs who are more interested in creating more value than raising more venture capital."" Source: [Alsop Louie Partners' website](http://alsop-louie.com/about/)","Financial Services, SaaS, Venture Capital","Financial Services, Lending and Investments, Software","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,80,"San Francisco, California, United States",,,https://www.linkedin.com/company/alsop-louie-partners,,,,,,
Rincon Venture Partners,https://www.crunchbase.com/organization/rincon-venture-partners,http://www.rinconvp.com,"West Coast, Western US","Rincon Venture Partners seeks to partner with extraordinary entrepreneurs and support them as they build world-class businesses. Rincon is an early-stage venture capital firm that targets investment opportunities in Web-based businesses that are led by 'serial founding teams', have proven recurring revenue models and are pursuing capital-efficient operating plans. They typically invest in companies where initial product or service development is largely complete, and the company's forward-looking focus is on market engagement and expansion. They take an active role in guiding and supporting portfolio companies by committing resources for such activities as Board representation, providing strategic and tactical guidance, filling key management positions, facilitating subsequent financings and achieving liquidity events.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Micro VC,80,"Santa Barbara, California, United States",,(805) 969-5484,https://www.linkedin.com/company/rincon-venture-partners/,,,,,,
StarVest Partners,https://www.crunchbase.com/organization/starvest-partners,http://www.starvestpartners.com,"Greater New York Area, East Coast, Northeastern US","StarVest Partners is a New York City-based growth equity firm with nearly two decades of experience investing in outstanding technology-enabled, business-to-business services companies, with a sector focus on Software-as-a-Service, Data & Analytics, E-Commerce Infrastructure, and Digital Marketing Services. While the firm has its roots investing at the expansion-stage, today its portfolio is primarily growth equity/late stage.","Internet of Things, SaaS, Venture Capital","Financial Services, Internet Services, Lending and Investments, Software","Early Stage Venture, Late Stage Venture",Venture Capital,80,"New York, New York, United States",info@starvestpartners.com,(212) 863-2500,https://www.linkedin.com/company/starvest-partners,,,,,,
Transmedia Capital,https://www.crunchbase.com/organization/transmedia-capital,http://www.transmediacapital.com,"San Francisco Bay Area, West Coast, Western US","Transmedia Capital is a top performing technology venture fund providing deep domain expertise, operating experience, and advisory relationships.","Finance, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Venture Capital,80,"San Francisco, California, United States",info@transmediacapital.com,,https://www.linkedin.com/company/transmedia-capital/,,,,,,
Highway1,https://www.crunchbase.com/organization/highway1,http://highway1.io/,"San Francisco Bay Area, West Coast, Western US","Hardware companies face unique barriers to design, manufacturing, distribution and retail. Highway1 offers a collaborative, hands-on environment to help startups move through these challenges and reach a looks like, works like prototype ready for funding.  What our program offers: •	Investment – Up to $100,000 investment in exchange for 8% equity or $50,000 for 5% •	Engineering expertise – Full time EE and ME support  •	Prototype – 24/7 access to shared workspace and state-of-the-art prototyping labs •	Scale – DFM advice from PCH manufacturing engineers •	Design – Full time design staff & network with the biggest names in ID •	Manufacturing demystified – Local factory tours, as well as trip to Shenzhen, China  •	Community & Connections – Strong alumni, mentor, vendor network •	Fundraising – Refine your story and meet hardware investors Highway1 is a division of PCH, a custom product solutions company that works with some of the world’s best brands.","Electronics, Hardware, Manufacturing, Product Design","Consumer Electronics, Design, Hardware, Manufacturing",Seed,Accelerator,80,"San Francisco, California, United States",info@highway1.io,,http://www.linkedin.com/company/3238699,,,,,,
GrandBanks Capital,https://www.crunchbase.com/organization/grandbanks-capital,http://www.GrandBanksCapital.com,"Greater Boston Area, East Coast, New England","GrandBanks Capital is an early-stage venture capital firm that invests in wireless and mobile technologies, digital media, web-based commerce, cloud-based services, storage, and financial technologies. The GrandBanks team and its partners collectively have more than 100 years of venture capital investing and senior operating experience, a proof point to their insight and expertise that helps entrepreneurs build the next wave of premier companies in emerging markets. Comprised of recognized business builders within targeted investment sectors, the investment team possesses a sought after reputation within the venture capital community for actively building successful companies. Recognizing new technologies with the potential for significant impact, GrandBanks Capital team members and partners have been lead investors and senior executives for some of the most successful companies in their respective sectors, including Yahoo!, E*Trade, Art Technology Group, GEAC, GeoCities, Multex Systems, 1800Flowers.com, GSI Commerce, SOFTBANK, EMC Corporation, Thomson Financial, First Call, CCBN, Lycos, The Learning Company, and Phoenix Technologies LTD. Current portfolio companies include Where Inc., I Love Rewards, Glasshouse Technologies, KnowledgeVision, Vela Systems and Nexage.","FinTech, Media and Entertainment, SaaS","Financial Services, Media and Entertainment, Software","Debt, Early Stage Venture, Late Stage Venture, Seed",Venture Capital,79,"Needham, Massachusetts, United States",info@grandbankscapital.com,781.997.4300,https://www.linkedin.com/company/grandbanks-capital/about/,,,,,,
Sands Capital Ventures,https://www.crunchbase.com/organization/sands-capital-ventures,http://sandscapitalventures.com/,"Washington DC Metro Area, East Coast, Southern US","Sands Capital Ventures invests in entrepreneurs building businesses in three dynamic, high-growth markets: Life Sciences, Technology, and Global Consumer. As the venture capital affiliate of Sands Capital Management, we bring significant global diligence capabilities based on our deep domain experience.  It was founded in 1992 and headquartered in Arlington, Virginia.","Biotechnology, Enterprise Software, Venture Capital","Biotechnology, Financial Services, Lending and Investments, Science and Engineering, Software","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,79,"Arlington, Virginia, United States",iratcliffe@sandscap.com,703 562 4000,https://www.linkedin.com/company/sands-capital-venture/,,,,,,
Hard Yaka,https://www.crunchbase.com/organization/hard-yaka,http://hardyaka.com/,Western US,Hard Yaka makes early round investments in exchange space startups. Candidates are either verticals in particular categories of exchange markets or horizontals providing services (i.e. messaging or payments) across exchange sectors.,"Identity Management, Marketplace, Payments","Commerce and Shopping, Financial Services, Information Technology, Payments, Privacy and Security",,"Micro VC, Venture Capital",79,"Crystal Bay, Nevada, United States",,,https://www.linkedin.com/company/hard-yaka/about/?viewAsMember=true,,,,,,
